V,throttle,thrust,power
11.342857,0.9,6.923415,159.489834
11.342857,0.95,7.978624,191.387272
11.342857,1.0,9.425843,229.962018
12.328571,0.0,0.0,0.0
12.328571,0.05,0.0,0.0
12.328571,0.1,0.0,0.0
12.328571,0.15,0.0,0.0
12.328571,0.2,0.0,0.0
12.328571,0.25,0.0,0.0
12.328571,0.3,0.0,0.0
12.328571,0.35,0.0,0.19779
12.328571,0.4,0.386137,5.728443
12.328571,0.45,0.873595,12.749531
12.328571,0.5,1.447637,21.593636
12.328571,0.55,2.099666,32.330163
12.328571,0.6,2.822956,45.034497
12.328571,0.65,3.572561,59.19836
12.328571,0.7,4.328158,74.921168
12.328571,0.75,5.048419,92.112743
12.328571,0.8,5.747589,111.576423
12.328571,0.85,6.326387,132.539274
12.328571,0.9,6.924114,157.072505
12.328571,0.95,7.655388,186.01037
12.328571,1.0,8.602382,219.898239
13.314286,0.0,0.0,0.0
13.314286,0.05,0.0,0.0
13.314286,0.1,0.0,0.0
13.314286,0.15,0.0,0.0
13.314286,0.2,0.0,0.0
13.314286,0.25,0.0,0.0
13.314286,0.3,0.0,0.0
13.314286,0.35,0.0,0.0
13.314286,0.4,0.162284,2.980695
13.314286,0.45,0.628076,9.915132
13.314286,0.5,1.183407,18.724895
13.314286,0.55,1.823399,29.532972
13.314286,0.6,2.541974,42.427621
13.314286,0.65,3.321428,57.32121
13.314286,0.7,4.125004,73.758226
13.314286,0.75,4.962247,92.347162
13.314286,0.8,5.745874,111.933589
13.314286,0.85,6.492376,133.744882
13.314286,0.9,7.151715,157.615631
13.314286,0.95,7.783894,184.715537
13.314286,1.0,8.488069,215.957455
14.3,0.0,0.0,0.0
14.3,0.05,0.0,0.0
14.3,0.1,0.0,0.0
14.3,0.15,0.0,0.0
14.3,0.2,0.0,0.0
14.3,0.25,0.0,0.0
14.3,0.3,0.0,0.0
14.3,0.35,0.0,0.0
14.3,0.4,0.0,0.0
14.3,0.45,0.380931,6.722795
14.3,0.5,0.912729,15.42065
14.3,0.55,1.534835,26.202607
14.3,0.6,2.240818,39.170365
14.3,0.65,2.997473,53.930337
14.3,0.7,3.863177,71.698026
14.3,0.75,4.724783,90.618792
14.3,0.8,5.646683,112.424844
14.3,0.85,6.426627,133.412203
14.3,0.9,7.251679,158.303219
14.3,0.95,8.034189,186.007786
14.3,1.0,8.703364,215.656842
15.285714,0.0,0.0,0.0
15.285714,0.05,0.0,0.0
15.285714,0.1,0.0,0.0
15.285714,0.15,0.0,0.0
15.285714,0.2,0.0,0.0
15.285714,0.25,0.0,0.0
15.285714,0.3,0.0,0.0
15.285714,0.35,0.0,0.0
15.285714,0.4,0.0,0.0
15.285714,0.45,0.120681,2.982824
15.285714,0.5,0.638041,11.686455
15.285714,0.55,1.239326,22.397297
15.285714,0.6,1.927753,35.34398
15.285714,0.65,2.699905,50.667805
15.285714,0.7,3.537797,68.228846
15.285714,0.75,4.445804,88.296619
15.285714,0.8,5.365246,109.870102
15.285714,0.85,6.345392,134.3011
15.285714,0.9,7.194326,158.52376
15.285714,0.95,8.129278,187.313443
15.285714,1.0,8.917816,216.79559
16.271429,0.0,0.0,0.0
16.271429,0.05,0.0,0.0
16.271429,0.1,0.0,0.0
16.271429,0.15,0.0,0.0
16.271429,0.2,0.0,0.0
16.271429,0.25,0.0,0.0
16.271429,0.3,0.0,0.0
16.271429,0.35,0.0,0.0
16.271429,0.4,0.0,0.0
16.271429,0.45,0.0,0.0
16.271429,0.5,0.362871,7.567982
16.271429,0.55,0.938724,18.110224
16.271429,0.6,1.607792,31.006198
16.271429,0.65,2.362273,46.311735
16.271429,0.7,3.200526,64.185786
16.271429,0.75,4.091957,84.227558
16.271429,0.8,5.06931,107.276629
16.271429,0.85,6.046383,131.670461
16.271429,0.9,7.085228,159.094209
16.271429,0.95,8.111725,188.953339
16.271429,1.0,9.025273,219.112646
17.257143,0.0,0.0,0.0
17.257143,0.05,0.0,0.0
17.257143,0.1,0.0,0.0
17.257143,0.15,0.0,0.0
17.257143,0.2,0.0,0.0
17.257143,0.25,0.0,0.0
17.257143,0.3,0.0,0.0
17.257143,0.35,0.0,0.0
17.257143,0.4,0.0,0.0
17.257143,0.45,0.0,0.0
17.257143,0.5,0.062585,2.619283
17.257143,0.55,0.636729,13.389535
17.257143,0.6,1.282007,26.144237
17.257143,0.65,2.018144,41.410117
17.257143,0.7,2.838427,59.268031
17.257143,0.75,3.742674,79.885692
17.257143,0.8,4.663685,102.02715
17.257143,0.85,5.733702,128.797729
17.257143,0.9,6.7682,156.178404
17.257143,0.95,7.866587,186.783099
17.257143,1.0,8.917119,219.006828
18.242857,0.0,0.0,0.0
18.242857,0.05,0.0,0.0
18.242857,0.1,0.0,0.0
18.242857,0.15,0.0,0.0
18.242857,0.2,0.0,0.0
18.242857,0.25,0.0,0.0
18.242857,0.3,0.0,0.0
18.242857,0.35,0.0,0.0
18.242857,0.4,0.0,0.0
18.242857,0.45,0.0,0.0
18.242857,0.5,0.0,0.0
18.242857,0.55,0.328047,8.127439
18.242857,0.6,0.952229,20.764907
18.242857,0.65,1.667259,35.940776
18.242857,0.7,2.470017,53.767972
18.242857,0.75,3.356233,74.374899
18.242857,0.8,4.32188,97.840814
18.242857,0.85,5.296959,122.734725
18.242857,0.9,6.438976,153.019405
18.242857,0.95,7.487431,182.66512
18.242857,1.0,8.652391,216.911026
19.228571,0.0,0.0,0.0
19.228571,0.05,0.0,0.0
19.228571,0.1,0.0,0.0
19.228571,0.15,0.0,0.0
19.228571,0.2,0.0,0.0
19.228571,0.25,0.0,0.0
19.228571,0.3,0.0,0.0
19.228571,0.35,0.0,0.0
19.228571,0.4,0.0,0.0
19.228571,0.45,0.0,0.0
19.228571,0.5,0.0,0.0
19.228571,0.55,0.0,1.799137
19.228571,0.6,0.622879,14.943298
19.228571,0.65,1.311581,29.901761
19.228571,0.7,2.09439,47.660424
19.228571,0.75,2.963372,68.241668
19.228571,0.8,3.915702,91.794335
19.228571,0.85,4.931551,118.048699
19.228571,0.9,5.962266,145.83808
19.228571,0.95,7.185314,180.105614
19.228571,1.0,8.28673,212.935135
20.214286,0.0,0.0,0.0
20.214286,0.05,0.0,0.0
20.214286,0.1,0.0,0.0
20.214286,0.15,0.0,0.0
20.214286,0.2,0.0,0.0
20.214286,0.25,0.0,0.0
20.214286,0.3,0.0,0.0
20.214286,0.35,0.0,0.0
20.214286,0.4,0.0,0.0
20.214286,0.45,0.0,0.0
20.214286,0.5,0.0,0.0
20.214286,0.55,0.0,0.0
20.214286,0.6,0.276474,8.31175
20.214286,0.65,0.954583,23.351465
20.214286,0.7,1.71349,40.940935
20.214286,0.75,2.563381,61.465046
20.214286,0.8,3.498309,84.994101
20.214286,0.85,4.516819,111.68836
20.214286,0.9,5.607507,141.457425
20.214286,0.95,6.687068,172.251035
20.214286,1.0,7.972999,210.223778
21.2,0.0,0.0,0.0
21.2,0.05,0.0,0.0
21.2,0.1,0.0,0.0
21.2,0.15,0.0,0.0
21.2,0.2,0.0,0.0
21.2,0.25,0.0,0.0
21.2,0.3,0.0,0.0
21.2,0.35,0.0,0.0
21.2,0.4,0.0,0.0
21.2,0.45,0.0,0.0
21.2,0.5,0.0,0.0
21.2,0.55,0.0,0.0
21.2,0.6,0.0,0.431716
21.2,0.65,0.595707,16.268553
21.2,0.7,1.32865,33.617632
21.2,0.75,2.157394,54.034176
21.2,0.8,3.074267,77.518218
21.2,0.85,4.074866,104.187491
21.2,0.9,5.159613,134.218937
21.2,0.95,6.31782,167.540058
21.2,1.0,7.436836,201.164169
22.185714,0.0,0.0,0.0
22.185714,0.05,0.0,0.0
22.185714,0.1,0.0,0.0
22.185714,0.15,0.0,0.0
22.185714,0.2,0.0,0.0
22.185714,0.25,0.0,0.0
22.185714,0.3,0.0,0.0
22.185714,0.35,0.0,0.0
22.185714,0.4,0.0,0.0
22.185714,0.45,0.0,0.0
22.185714,0.5,0.0,0.0
22.185714,0.55,0.0,0.0
22.185714,0.6,0.0,0.0
22.185714,0.65,0.208478,8.038763
22.185714,0.7,0.94472,25.790121
22.185714,0.75,1.746648,45.944036
22.185714,0.8,2.643186,69.341476
22.185714,0.85,3.626585,95.976465
22.185714,0.9,4.693066,125.983983
22.185714,0.95,5.843967,159.546507
22.185714,1.0,7.050286,196.131633
23.171429,0.0,0.0,0.0
23.171429,0.05,0.0,0.0
23.171429,0.1,0.0,0.0
23.171429,0.15,0.0,0.0
23.171429,0.2,0.0,0.0
23.171429,0.25,0.0,0.0
23.171429,0.3,0.0,0.0
23.171429,0.35,0.0,0.0
23.171429,0.4,0.0,0.0
23.171429,0.45,0.0,0.0
23.171429,0.5,0.0,0.0
23.171429,0.55,0.0,0.0
23.171429,0.6,0.0,0.0
23.171429,0.65,0.0,0.0
23.171429,0.7,0.55092,17.19731
23.171429,0.75,1.33449,37.261312
23.171429,0.8,2.207178,60.464978
23.171429,0.85,3.170846,87.024553
23.171429,0.9,4.220379,117.00275
23.171429,0.95,5.35292,150.545552
23.171429,1.0,6.569809,187.831325
24.157143,0.0,0.0,0.0
24.157143,0.05,0.0,0.0
24.157143,0.1,0.0,0.0
24.157143,0.15,0.0,0.0
24.157143,0.2,0.0,0.0
24.157143,0.25,0.0,0.0
24.157143,0.3,0.0,0.0
24.157143,0.35,0.0,0.0
24.157143,0.4,0.0,0.0
24.157143,0.45,0.0,0.0
24.157143,0.5,0.0,0.0
24.157143,0.55,0.0,0.0
24.157143,0.6,0.0,0.0
24.157143,0.65,0.0,0.0
24.157143,0.7,0.12395,7.218305
24.157143,0.75,0.922225,28.00951
24.157143,0.8,1.767293,50.89889
24.157143,0.85,2.709733,77.331808
24.157143,0.9,3.740376,107.245897
24.157143,0.95,4.855741,140.760082
24.157143,1.0,6.054426,178.034206
25.142857,0.0,0.0,0.0
25.142857,0.05,0.0,0.0
25.142857,0.1,0.0,0.0
25.142857,0.15,0.0,0.0
25.142857,0.2,0.0,0.0
25.142857,0.25,0.0,0.0
25.142857,0.3,0.0,0.0
25.142857,0.35,0.0,0.0
25.142857,0.4,0.0,0.0
25.142857,0.45,0.0,0.0
25.142857,0.5,0.0,0.0
25.142857,0.55,0.0,0.0
25.142857,0.6,0.0,0.0
25.142857,0.65,0.0,0.0
25.142857,0.7,0.0,0.0
25.142857,0.75,0.489389,17.656606
25.142857,0.8,1.328611,40.764694
25.142857,0.85,2.243925,66.891342
25.142857,0.9,3.254185,96.703643
25.142857,0.95,4.351771,130.168448
25.142857,1.0,5.532709,167.41077
26.128571,0.0,0.0,0.0
26.128571,0.05,0.0,0.0
26.128571,0.1,0.0,0.0
26.128571,0.15,0.0,0.0
26.128571,0.2,0.0,0.0
26.128571,0.25,0.0,0.0
26.128571,0.3,0.0,0.0
26.128571,0.35,0.0,0.0
26.128571,0.4,0.0,0.0
26.128571,0.45,0.0,0.0
26.128571,0.5,0.0,0.0
26.128571,0.55,0.0,0.0
26.128571,0.6,0.0,0.0
26.128571,0.65,0.0,0.0
26.128571,0.7,0.0,0.0
26.128571,0.75,0.022781,5.759305
26.128571,0.8,0.885629,29.908352
26.128571,0.85,1.776451,55.771825
26.128571,0.9,2.763073,85.370661
26.128571,0.95,3.840508,118.742035
26.128571,1.0,5.004535,155.947381
27.114286,0.0,0.0,0.0
27.114286,0.05,0.0,0.0
27.114286,0.1,0.0,0.0
27.114286,0.15,0.0,0.0
27.114286,0.2,0.0,0.0
27.114286,0.25,0.0,0.0
27.114286,0.3,0.0,0.0
27.114286,0.35,0.0,0.0
27.114286,0.4,0.0,0.0
27.114286,0.45,0.0,0.0
27.114286,0.5,0.0,0.0
27.114286,0.55,0.0,0.0
27.114286,0.6,0.0,0.0
27.114286,0.65,0.0,0.0
27.114286,0.7,0.0,0.0
27.114286,0.75,0.0,0.0
27.114286,0.8,0.411468,17.566703
27.114286,0.85,1.310105,44.043614
27.114286,0.9,2.268146,73.262701
27.114286,0.95,3.324277,106.487902
27.114286,1.0,4.468691,143.60892
28.1,0.0,0.0,0.0
28.1,0.05,0.0,0.0
28.1,0.1,0.0,0.0
28.1,0.15,0.0,0.0
28.1,0.2,0.0,0.0
28.1,0.25,0.0,0.0
28.1,0.3,0.0,0.0
28.1,0.35,0.0,0.0
28.1,0.4,0.0,0.0
28.1,0.45,0.0,0.0
28.1,0.5,0.0,0.0
28.1,0.55,0.0,0.0
28.1,0.6,0.0,0.0
28.1,0.65,0.0,0.0
28.1,0.7,0.0,0.0
28.1,0.75,0.0,0.0
28.1,0.8,0.0,3.570069
28.1,0.85,0.830944,31.300731
28.1,0.9,1.77456,60.519981
28.1,0.95,2.80341,93.397973
28.1,1.0,3.927385,130.401085
29.085714,0.0,0.0,0.0
29.085714,0.05,0.0,0.0
29.085714,0.1,0.0,0.0
29.085714,0.15,0.0,0.0
29.085714,0.2,0.0,0.0
29.085714,0.25,0.0,0.0
29.085714,0.3,0.0,0.0
29.085714,0.35,0.0,0.0
29.085714,0.4,0.0,0.0
29.085714,0.45,0.0,0.0
29.085714,0.5,0.0,0.0
29.085714,0.55,0.0,0.0
29.085714,0.6,0.0,0.0
29.085714,0.65,0.0,0.0
29.085714,0.7,0.0,0.0
29.085714,0.75,0.0,0.0
29.085714,0.8,0.0,0.0
29.085714,0.85,0.317073,16.837836
29.085714,0.9,1.278967,47.034957
29.085714,0.95,2.280657,79.541849
29.085714,1.0,3.381175,116.312265
30.071429,0.0,0.0,0.0
30.071429,0.05,0.0,0.0
30.071429,0.1,0.0,0.0
30.071429,0.15,0.0,0.0
30.071429,0.2,0.0,0.0
30.071429,0.25,0.0,0.0
30.071429,0.3,0.0,0.0
30.071429,0.35,0.0,0.0
30.071429,0.4,0.0,0.0
30.071429,0.45,0.0,0.0
30.071429,0.5,0.0,0.0
30.071429,0.55,0.0,0.0
30.071429,0.6,0.0,0.0
30.071429,0.65,0.0,0.0
30.071429,0.7,0.0,0.0
30.071429,0.75,0.0,0.0
30.071429,0.8,0.0,0.0
30.071429,0.85,0.0,0.563155
30.071429,0.9,0.759423,32.126742
30.071429,0.95,1.760042,65.038325
30.071429,1.0,2.831209,101.363372
31.057143,0.0,0.0,0.0
31.057143,0.05,0.0,0.0
31.057143,0.1,0.0,0.0
31.057143,0.15,0.0,0.0
31.057143,0.2,0.0,0.0
31.057143,0.25,0.0,0.0
31.057143,0.3,0.0,0.0
31.057143,0.35,0.0,0.0
31.057143,0.4,0.0,0.0
31.057143,0.45,0.0,0.0
31.057143,0.5,0.0,0.0
31.057143,0.55,0.0,0.0
31.057143,0.6,0.0,0.0
31.057143,0.65,0.0,0.0
31.057143,0.7,0.0,0.0
31.057143,0.75,0.0,0.0
31.057143,0.8,0.0,0.0
31.057143,0.85,0.0,0.0
31.057143,0.9,0.206074,15.378118
31.057143,0.95,1.232691,49.597933
